,tweet,tweet_tokens,tweet_tokens_WSW,tweet_tokens_stemmed
228,tentunya banyak hal yang menjadi pertanyaan dan kebingungan sebenarnya apa yang diinginkan oleh para lgbt,"['tentunya', 'banyak', 'hal', 'yang', 'menjadi', 'pertanyaan', 'dan', 'kebingungan', 'sebenarnya', 'apa', 'yang', 'diinginkan', 'oleh', 'para', 'lgbt']","['kebingungan', 'lgbt']","['bingung', 'lgbt']"
229,lgbt masih menjadi perbincangan yang hangat saat ini dibuktikan dengan trendingnya lgbt berturut,"['lgbt', 'masih', 'menjadi', 'perbincangan', 'yang', 'hangat', 'saat', 'ini', 'dibuktikan', 'dengan', 'trendingnya', 'lgbt', 'berturut']","['lgbt', 'perbincangan', 'hangat', 'dibuktikan', 'trendingnya', 'lgbt']","['lgbt', 'bincang', 'hangat', 'bukti', 'trendingnya', 'lgbt']"
230,di bugis bukanlah sperti lgbt yg ada dipikiranmmg casing sperti laintp perbuatan,"['di', 'bugis', 'bukanlah', 'sperti', 'lgbt', 'yg', 'ada', 'dipikiranmmg', 'casing', 'sperti', 'laintp', 'perbuatan']","['bugis', 'sperti', 'lgbt', 'dipikiranmmg', 'casing', 'sperti', 'laintp', 'perbuatan']","['bugis', 'sperti', 'lgbt', 'dipikiranmmg', 'casing', 'sperti', 'laintp', 'buat']"
231,puan matikan mic saat fraksi pks bahas lgbt tifatul sembiring sarkas mungkin hemat,"['puan', 'matikan', 'mic', 'saat', 'fraksi', 'pks', 'bahas', 'lgbt', 'tifatul', 'sembiring', 'sarkas', 'mungkin', 'hemat']","['puan', 'matikan', 'mic', 'fraksi', 'pks', 'bahas', 'lgbt', 'tifatul', 'sembiring', 'sarkas', 'hemat']","['puan', 'mati', 'mic', 'fraksi', 'pks', 'bahas', 'lgbt', 'tifatul', 'sembiring', 'sarkas', 'hemat']"
232,nu sudah kehilangan ruh lgbt dibela ulama di cemooh,"['nu', 'sudah', 'kehilangan', 'ruh', 'lgbt', 'dibela', 'ulama', 'di', 'cemooh']","['nu', 'kehilangan', 'ruh', 'lgbt', 'dibela', 'ulama', 'cemooh']","['nu', 'hilang', 'ruh', 'lgbt', 'bela', 'ulama', 'cemooh']"
233,ahong kalau perbuatan mereka jelas dilaknat jika loe doang yg kena imbasnya nga masalah tapi yg lainnya,"['ahong', 'kalau', 'perbuatan', 'mereka', 'jelas', 'dilaknat', 'jika', 'loe', 'doang', 'yg', 'kena', 'imbasnya', 'nga', 'masalah', 'tapi', 'yg', 'lainnya']","['ahong', 'perbuatan', 'dilaknat', 'loe', 'doang', 'kena', 'imbasnya', 'nga']","['ahong', 'buat', 'laknat', 'loe', 'doang', 'kena', 'imbas', 'nga']"
234,gw bingung sama yang masih bisa becandaan soal rkuhp lgbt,"['gw', 'bingung', 'sama', 'yang', 'masih', 'bisa', 'becandaan', 'soal', 'rkuhp', 'lgbt']","['gw', 'bingung', 'becandaan', 'rkuhp', 'lgbt']","['gw', 'bingung', 'becandaan', 'rkuhp', 'lgbt']"
235,rt berjuang membela lgbt,"['rt', 'berjuang', 'membela', 'lgbt']","['berjuang', 'membela', 'lgbt']","['juang', 'bela', 'lgbt']"
236,dengan alasan ham mereka melindunginya padahal mereka lupa bahwa lgbt itu merombak total ham padahal manusia itu,"['dengan', 'alasan', 'ham', 'mereka', 'melindunginya', 'padahal', 'mereka', 'lupa', 'bahwa', 'lgbt', 'itu', 'merombak', 'total', 'ham', 'padahal', 'manusia', 'itu']","['alasan', 'ham', 'melindunginya', 'lupa', 'lgbt', 'merombak', 'total', 'ham', 'manusia']","['alas', 'ham', 'lindung', 'lupa', 'lgbt', 'rombak', 'total', 'ham', 'manusia']"
237,rt pernah ada penelitian soal homophobia orang yang toleran ama kaum lgbt ama orang yang anti banget ama lgbt samasama dikas,"['rt', 'pernah', 'ada', 'penelitian', 'soal', 'homophobia', 'orang', 'yang', 'toleran', 'ama', 'kaum', 'lgbt', 'ama', 'orang', 'yang', 'anti', 'banget', 'ama', 'lgbt', 'samasama', 'dikas']","['penelitian', 'homophobia', 'orang', 'toleran', 'ama', 'kaum', 'lgbt', 'ama', 'orang', 'anti', 'banget', 'ama', 'lgbt', 'samasama', 'dikas']","['teliti', 'homophobia', 'orang', 'toleran', 'ama', 'kaum', 'lgbt', 'ama', 'orang', 'anti', 'banget', 'ama', 'lgbt', 'samasama', 'kas']"
238,rt pejaten kalau memang lgbt tidak menjangkit ke level bawah menengah sampai atascoba beranikah ketua dprri berfoto depan publik,"['rt', 'pejaten', 'kalau', 'memang', 'lgbt', 'tidak', 'menjangkit', 'ke', 'level', 'bawah', 'menengah', 'sampai', 'atascoba', 'beranikah', 'ketua', 'dprri', 'berfoto', 'depan', 'publik']","['pejaten', 'lgbt', 'menjangkit', 'level', 'menengah', 'atascoba', 'beranikah', 'ketua', 'dprri', 'berfoto', 'publik']","['pejaten', 'lgbt', 'jangkit', 'level', 'tengah', 'atascoba', 'berani', 'ketua', 'dprri', 'foto', 'publik']"
239,pbnu getol bela lgbt aktivis pantas aja gerah sama kata kafir dan gemar menstigma ulama,"['pbnu', 'getol', 'bela', 'lgbt', 'aktivis', 'pantas', 'aja', 'gerah', 'sama', 'kata', 'kafir', 'dan', 'gemar', 'menstigma', 'ulama']","['pbnu', 'getol', 'bela', 'lgbt', 'aktivis', 'gerah', 'kafir', 'gemar', 'menstigma', 'ulama']","['pbnu', 'getol', 'bela', 'lgbt', 'aktivis', 'gerah', 'kafir', 'gemar', 'stigma', 'ulama']"
240,dibawahnya lgbt pasti,"['dibawahnya', 'lgbt', 'pasti']","['dibawahnya', 'lgbt']","['bawah', 'lgbt']"
241,darius sinathrya blakblakan jawab tudingan dukung lgbt,"['darius', 'sinathrya', 'blakblakan', 'jawab', 'tudingan', 'dukung', 'lgbt']","['darius', 'sinathrya', 'blakblakan', 'tudingan', 'dukung', 'lgbt']","['darius', 'sinathrya', 'blakblakan', 'tuding', 'dukung', 'lgbt']"
242,rt bang yos manusia intelijenberpikirnya prediksi terburuk di masa yg akan datangjadi bener bang yos waspada itu perlu,"['rt', 'bang', 'yos', 'manusia', 'intelijenberpikirnya', 'prediksi', 'terburuk', 'di', 'masa', 'yg', 'akan', 'datangjadi', 'bener', 'bang', 'yos', 'waspada', 'itu', 'perlu']","['bang', 'yos', 'manusia', 'intelijenberpikirnya', 'prediksi', 'terburuk', 'datangjadi', 'bener', 'bang', 'yos', 'waspada']","['bang', 'yos', 'manusia', 'intelijenberpikirnya', 'prediksi', 'buruk', 'datangjadi', 'bener', 'bang', 'yos', 'waspada']"
243,rt keahlian kok mematikan mik apakah juga berarti dia pendukung kaum lgbt,"['rt', 'keahlian', 'kok', 'mematikan', 'mik', 'apakah', 'juga', 'berarti', 'dia', 'pendukung', 'kaum', 'lgbt']","['keahlian', 'mematikan', 'mik', 'pendukung', 'kaum', 'lgbt']","['ahli', 'mati', 'mik', 'dukung', 'kaum', 'lgbt']"
244,yg jadi masalah kenapa jg masih dimatikan mic alasan melewati menit isu lgbt meresahkan mas,"['yg', 'jadi', 'masalah', 'kenapa', 'jg', 'masih', 'dimatikan', 'mic', 'alasan', 'melewati', 'menit', 'isu', 'lgbt', 'meresahkan', 'mas']","['jg', 'dimatikan', 'mic', 'alasan', 'melewati', 'menit', 'isu', 'lgbt', 'meresahkan', 'mas']","['jg', 'mati', 'mic', 'alas', 'lewat', 'menit', 'isu', 'lgbt', 'resah', 'mas']"
245,rt ali bhineka tunggal ika itu berbeda beda tetap satulgbt itu dimana perbedaan nya orang dia suka dengan sesama dan dipaksa,"['rt', 'ali', 'bhineka', 'tunggal', 'ika', 'itu', 'berbeda', 'beda', 'tetap', 'satulgbt', 'itu', 'dimana', 'perbedaan', 'nya', 'orang', 'dia', 'suka', 'dengan', 'sesama', 'dan', 'dipaksa']","['ali', 'bhineka', 'tunggal', 'ika', 'berbeda', 'beda', 'satulgbt', 'dimana', 'perbedaan', 'orang', 'suka', 'dipaksa']","['ali', 'bhineka', 'tunggal', 'ika', 'beda', 'beda', 'satulgbt', 'mana', 'beda', 'orang', 'suka', 'paksa']"
246,makanya kalau bisa lgbt dibikin aja kecamatan biar mereka tau,"['makanya', 'kalau', 'bisa', 'lgbt', 'dibikin', 'aja', 'kecamatan', 'biar', 'mereka', 'tau']","['lgbt', 'dibikin', 'kecamatan']","['lgbt', 'bikin', 'camat']"
247,ngeri seberapa kuat mereka melindungi lgbt dgn alasan ham,"['ngeri', 'seberapa', 'kuat', 'mereka', 'melindungi', 'lgbt', 'dgn', 'alasan', 'ham']","['ngeri', 'kuat', 'melindungi', 'lgbt', 'alasan', 'ham']","['ngeri', 'kuat', 'lindung', 'lgbt', 'alas', 'ham']"
248,srg ahong kan si jambret udah dapet hukuman kalo gini ya ga masuk membenarkandi,"['srg', 'ahong', 'kan', 'si', 'jambret', 'udah', 'dapet', 'hukuman', 'kalo', 'gini', 'ya', 'ga', 'masuk', 'membenarkandi']","['srg', 'ahong', 'jambret', 'udah', 'dapet', 'hukuman', 'masuk', 'membenarkandi']","['srg', 'ahong', 'jambret', 'udah', 'dapet', 'hukum', 'masuk', 'membenarkandi']"
249,denger denger ada yang matiin mic lagi nih sekarang pas lagi bahas sanksi lgbt benar kah,"['denger', 'denger', 'ada', 'yang', 'matiin', 'mic', 'lagi', 'nih', 'sekarang', 'pas', 'lagi', 'bahas', 'sanksi', 'lgbt', 'benar', 'kah']","['denger', 'denger', 'matiin', 'mic', 'pas', 'bahas', 'sanksi', 'lgbt', 'kah']","['denger', 'denger', 'matiin', 'mic', 'pas', 'bahas', 'sanksi', 'lgbt', 'kah']"
250,rt bikin partai lgbt aja bro nama partai rakyat kurang cocok,"['rt', 'bikin', 'partai', 'lgbt', 'aja', 'bro', 'nama', 'partai', 'rakyat', 'kurang', 'cocok']","['partai', 'lgbt', 'bro', 'nama', 'partai', 'rakyat', 'cocok']","['partai', 'lgbt', 'bro', 'nama', 'partai', 'rakyat', 'cocok']"
251,rt tak perlu menerapkan seperti syariat islam seperti brunei darussalam tapi setidaknya ada inisiatif untuk menghukum pelaku,"['rt', 'tak', 'perlu', 'menerapkan', 'seperti', 'syariat', 'islam', 'seperti', 'brunei', 'darussalam', 'tapi', 'setidaknya', 'ada', 'inisiatif', 'untuk', 'menghukum', 'pelaku']","['menerapkan', 'syariat', 'islam', 'brunei', 'darussalam', 'inisiatif', 'menghukum', 'pelaku']","['terap', 'syariat', 'islam', 'brunei', 'darussalam', 'inisiatif', 'hukum', 'laku']"
252,rt sridianava agama islam yg benar sudah mulai di gerogoti sama syiah dan yahudi yang menyusup di nu se,"['rt', 'sridianava', 'agama', 'islam', 'yg', 'benar', 'sudah', 'mulai', 'di', 'gerogoti', 'sama', 'syiah', 'dan', 'yahudi', 'yang', 'menyusup', 'di', 'nu', 'se']","['sridianava', 'agama', 'islam', 'gerogoti', 'syiah', 'yahudi', 'menyusup', 'nu']","['sridianava', 'agama', 'islam', 'gerogot', 'syiah', 'yahudi', 'susup', 'nu']"
253,rt buni yani ingatkan kedubes inggris kalau lgbt itu haram dan penyakit usai kibarkan bendera pelangi,"['rt', 'buni', 'yani', 'ingatkan', 'kedubes', 'inggris', 'kalau', 'lgbt', 'itu', 'haram', 'dan', 'penyakit', 'usai', 'kibarkan', 'bendera', 'pelangi']","['buni', 'yani', 'ingatkan', 'kedubes', 'inggris', 'lgbt', 'haram', 'penyakit', 'kibarkan', 'bendera', 'pelangi']","['buni', 'yani', 'ingat', 'dubes', 'inggris', 'lgbt', 'haram', 'sakit', 'kibar', 'bendera', 'pelangi']"
254,rt cuma orang komunis saja yang pro lgbtagama mana yang menghalalkan lgbt,"['rt', 'cuma', 'orang', 'komunis', 'saja', 'yang', 'pro', 'lgbtagama', 'mana', 'yang', 'menghalalkan', 'lgbt']","['orang', 'komunis', 'pro', 'lgbtagama', 'menghalalkan', 'lgbt']","['orang', 'komunis', 'pro', 'lgbtagama', 'halal', 'lgbt']"
255,fantesa pi makanya kaum beginian jgn dikasih ruang kalo mereka ad,"['fantesa', 'pi', 'makanya', 'kaum', 'beginian', 'jgn', 'dikasih', 'ruang', 'kalo', 'mereka', 'ad']","['fantesa', 'pi', 'kaum', 'dikasih', 'ruang', 'ad']","['fantesa', 'pi', 'kaum', 'kasih', 'ruang', 'ad']"
256,manusia superior lo ciri satu dari sekian banyak lgbt yang arogan tapi,"['manusia', 'superior', 'lo', 'ciri', 'satu', 'dari', 'sekian', 'banyak', 'lgbt', 'yang', 'arogan', 'tapi']","['manusia', 'superior', 'lo', 'ciri', 'sekian', 'lgbt', 'arogan']","['manusia', 'superior', 'lo', 'ciri', 'sekian', 'lgbt', 'arogan']"
257,siapakah mereka yang suka bersikap seperti ini didukung pengajian dibubarkan,"['siapakah', 'mereka', 'yang', 'suka', 'bersikap', 'seperti', 'ini', 'didukung', 'pengajian', 'dibubarkan']","['suka', 'bersikap', 'didukung', 'pengajian', 'dibubarkan']","['suka', 'sikap', 'dukung', 'aji', 'bubar']"
258,rt now sampai ditemukan warga indonesia pernah mendengar tent,"['rt', 'now', 'sampai', 'ditemukan', 'warga', 'indonesia', 'pernah', 'mendengar', 'tent']","['now', 'ditemukan', 'warga', 'indonesia', 'mendengar', 'tent']","['now', 'temu', 'warga', 'indonesia', 'dengar', 'tent']"
259,rt lbgt kok gender bagaimana sih lgbt itu prilaku menyimpang dg kata lain sakit org sakit itu bs disem,"['rt', 'lbgt', 'kok', 'gender', 'bagaimana', 'sih', 'lgbt', 'itu', 'prilaku', 'menyimpang', 'dg', 'kata', 'lain', 'sakit', 'org', 'sakit', 'itu', 'bs', 'disem']","['lbgt', 'gender', 'lgbt', 'prilaku', 'menyimpang', 'sakit', 'org', 'sakit', 'bs', 'disem']","['lbgt', 'gender', 'lgbt', 'prilaku', 'simpang', 'sakit', 'org', 'sakit', 'bs', 'disem']"
260,rt sikap elit pbnu getol bela kaum sodom lgbt bukti ormas tsb makin suram amp membusukpantas aja kalian gerah dgn kata,"['rt', 'sikap', 'elit', 'pbnu', 'getol', 'bela', 'kaum', 'sodom', 'lgbt', 'bukti', 'ormas', 'tsb', 'makin', 'suram', 'amp', 'membusukpantas', 'aja', 'kalian', 'gerah', 'dgn', 'kata']","['sikap', 'elit', 'pbnu', 'getol', 'bela', 'kaum', 'sodom', 'lgbt', 'bukti', 'ormas', 'tsb', 'suram', 'membusukpantas', 'gerah']","['sikap', 'elit', 'pbnu', 'getol', 'bela', 'kaum', 'sodom', 'lgbt', 'bukti', 'ormas', 'tsb', 'suram', 'membusukpantas', 'gerah']"
261,yang ku highlight dari tweetmu itu di awal ya si botak smart pipel ini gak bisa dikambinghitamkan kalau,"['yang', 'ku', 'highlight', 'dari', 'tweetmu', 'itu', 'di', 'awal', 'ya', 'si', 'botak', 'smart', 'pipel', 'ini', 'gak', 'bisa', 'dikambinghitamkan', 'kalau']","['ku', 'highlight', 'tweetmu', 'botak', 'smart', 'pipel', 'dikambinghitamkan']","['ku', 'highlight', 'tweetmu', 'botak', 'smart', 'pipel', 'dikambinghitamkan']"
262,rt yunianto merangkai dukadulu takut menjaga anak prempuan tapi sekarang lebih takut lagi menjaga anak lakitulisan dr ani,"['rt', 'yunianto', 'merangkai', 'dukadulu', 'takut', 'menjaga', 'anak', 'prempuan', 'tapi', 'sekarang', 'lebih', 'takut', 'lagi', 'menjaga', 'anak', 'lakitulisan', 'dr', 'ani']","['yunianto', 'merangkai', 'dukadulu', 'takut', 'menjaga', 'anak', 'prempuan', 'takut', 'menjaga', 'anak', 'lakitulisan', 'dr', 'ani']","['yunianto', 'rangkai', 'dukadulu', 'takut', 'jaga', 'anak', 'prempuan', 'takut', 'jaga', 'anak', 'lakitulisan', 'dr', 'ani']"
263,mn bukti  kl bnr bela lgbt jgn asal tuduh ya jd media jgn abal yg brkwalitas gtu biar kliatan pinter ,"['mn', 'bukti', 'kl', 'bnr', 'bela', 'lgbt', 'jgn', 'asal', 'tuduh', 'ya', 'jd', 'media', 'jgn', 'abal', 'yg', 'brkwalitas', 'gtu', 'biar', 'kliatan', 'pinter']","['mn', 'bukti', 'kl', 'bnr', 'bela', 'lgbt', 'tuduh', 'media', 'abal', 'brkwalitas', 'gtu', 'kliatan', 'pinter']","['mn', 'bukti', 'kl', 'bnr', 'bela', 'lgbt', 'tuduh', 'media', 'abal', 'brkwalitas', 'gtu', 'kliatan', 'pinter']"
264,rt grant tokoh agama yg menyatakan vonis lgbt adl penyakit menular perlu belajar psikologi terlebih dulu karena bukan ranah agama mem,"['rt', 'grant', 'tokoh', 'agama', 'yg', 'menyatakan', 'vonis', 'lgbt', 'adl', 'penyakit', 'menular', 'perlu', 'belajar', 'psikologi', 'terlebih', 'dulu', 'karena', 'bukan', 'ranah', 'agama', 'mem']","['grant', 'tokoh', 'agama', 'vonis', 'lgbt', 'adl', 'penyakit', 'menular', 'belajar', 'psikologi', 'ranah', 'agama', 'mem']","['grant', 'tokoh', 'agama', 'vonis', 'lgbt', 'adl', 'sakit', 'tular', 'ajar', 'psikologi', 'ranah', 'agama', 'mem']"
265,rt menko polhukam mahfud md kembali menegaskan lgbt dipidana masuk dalam rkuhp dia mengatakan dalam rkuhp memang tidak ada kat,"['rt', 'menko', 'polhukam', 'mahfud', 'md', 'kembali', 'menegaskan', 'lgbt', 'dipidana', 'masuk', 'dalam', 'rkuhp', 'dia', 'mengatakan', 'dalam', 'rkuhp', 'memang', 'tidak', 'ada', 'kat']","['menko', 'polhukam', 'mahfud', 'md', 'lgbt', 'dipidana', 'masuk', 'rkuhp', 'rkuhp', 'kat']","['menko', 'polhukam', 'mahfud', 'md', 'lgbt', 'pidana', 'masuk', 'rkuhp', 'rkuhp', 'kat']"
266,saya ngomong kaya gini demi mengatakan yang hak itu hak dan bathil itu bathil walaupun pahit kita rasakandaripa,"['saya', 'ngomong', 'kaya', 'gini', 'demi', 'mengatakan', 'yang', 'hak', 'itu', 'hak', 'dan', 'bathil', 'itu', 'bathil', 'walaupun', 'pahit', 'kita', 'rasakandaripa']","['ngomong', 'kaya', 'hak', 'hak', 'bathil', 'bathil', 'pahit', 'rasakandaripa']","['ngomong', 'kaya', 'hak', 'hak', 'bathil', 'bathil', 'pahit', 'rasakandaripa']"
267,susah ngomong sama lgbt pada kenyataannya keadilan buat orang,"['susah', 'ngomong', 'sama', 'lgbt', 'pada', 'kenyataannya', 'keadilan', 'buat', 'orang']","['susah', 'ngomong', 'lgbt', 'kenyataannya', 'keadilan', 'orang']","['susah', 'ngomong', 'lgbt', 'nyata', 'adil', 'orang']"
268,rt cemilan lgbt,"['rt', 'cemilan', 'lgbt']","['cemilan', 'lgbt']","['cemilan', 'lgbt']"
269,rt silalahi giliran lgbt lantang kalian bersuara untuk menghormati hak mereka tapi giliran tanah rakyat dirampas upah murah pada,"['rt', 'silalahi', 'giliran', 'lgbt', 'lantang', 'kalian', 'bersuara', 'untuk', 'menghormati', 'hak', 'mereka', 'tapi', 'giliran', 'tanah', 'rakyat', 'dirampas', 'upah', 'murah', 'pada']","['silalahi', 'giliran', 'lgbt', 'lantang', 'bersuara', 'menghormati', 'hak', 'giliran', 'tanah', 'rakyat', 'dirampas', 'upah', 'murah']","['silalahi', 'gilir', 'lgbt', 'lantang', 'suara', 'hormat', 'hak', 'gilir', 'tanah', 'rakyat', 'rampas', 'upah', 'murah']"
270,rt ketua majelis ulama indonesia mui bidang dakwah dan ukhuwah kh muhammad cholil nafis menegaskan pelaku lgbt harus dipidana,"['rt', 'ketua', 'majelis', 'ulama', 'indonesia', 'mui', 'bidang', 'dakwah', 'dan', 'ukhuwah', 'kh', 'muhammad', 'cholil', 'nafis', 'menegaskan', 'pelaku', 'lgbt', 'harus', 'dipidana']","['ketua', 'majelis', 'ulama', 'indonesia', 'mui', 'bidang', 'dakwah', 'ukhuwah', 'kh', 'muhammad', 'cholil', 'nafis', 'pelaku', 'lgbt', 'dipidana']","['ketua', 'majelis', 'ulama', 'indonesia', 'mui', 'bidang', 'dakwah', 'ukhuwah', 'kh', 'muhammad', 'cholil', 'naf', 'laku', 'lgbt', 'pidana']"
271,rt untuk memenuhi tugas akhir aku ak nulis dengan judul lgbt di negeri adat di dalam ak jg bahas mengen,"['rt', 'untuk', 'memenuhi', 'tugas', 'akhir', 'aku', 'ak', 'nulis', 'dengan', 'judul', 'lgbt', 'di', 'negeri', 'adat', 'di', 'dalam', 'ak', 'jg', 'bahas', 'mengen']","['memenuhi', 'tugas', 'ak', 'nulis', 'judul', 'lgbt', 'negeri', 'adat', 'ak', 'jg', 'bahas', 'mengen']","['penuh', 'tugas', 'ak', 'nulis', 'judul', 'lgbt', 'negeri', 'adat', 'ak', 'jg', 'bahas', 'ken']"
272,rt pbnu getol bela lgbt aktivis pantas aja gerah sama kata kafir dan gemar menstigma ulama,"['rt', 'pbnu', 'getol', 'bela', 'lgbt', 'aktivis', 'pantas', 'aja', 'gerah', 'sama', 'kata', 'kafir', 'dan', 'gemar', 'menstigma', 'ulama']","['pbnu', 'getol', 'bela', 'lgbt', 'aktivis', 'gerah', 'kafir', 'gemar', 'menstigma', 'ulama']","['pbnu', 'getol', 'bela', 'lgbt', 'aktivis', 'gerah', 'kafir', 'gemar', 'stigma', 'ulama']"
273,rt mencari dasar hukum pelarangan lgbt jgn tanya nasi mawut pasti malah tersesat lihat aja dasar ideologi pancasila dari ke,"['rt', 'mencari', 'dasar', 'hukum', 'pelarangan', 'lgbt', 'jgn', 'tanya', 'nasi', 'mawut', 'pasti', 'malah', 'tersesat', 'lihat', 'aja', 'dasar', 'ideologi', 'pancasila', 'dari', 'ke']","['mencari', 'dasar', 'hukum', 'pelarangan', 'lgbt', 'nasi', 'mawut', 'tersesat', 'lihat', 'dasar', 'ideologi', 'pancasila']","['cari', 'dasar', 'hukum', 'larang', 'lgbt', 'nasi', 'mawut', 'sesat', 'lihat', 'dasar', 'ideologi', 'pancasila']"
274,dan anda pendukung lgbt di indonesia,"['dan', 'anda', 'pendukung', 'lgbt', 'di', 'indonesia']","['pendukung', 'lgbt', 'indonesia']","['dukung', 'lgbt', 'indonesia']"
275,rt tagar lgbt tidak boleh dibiarkan tumbuh dalam masyarakat mari dukung pemerintah untuk menetapkan tegas,"['rt', 'tagar', 'lgbt', 'tidak', 'boleh', 'dibiarkan', 'tumbuh', 'dalam', 'masyarakat', 'mari', 'dukung', 'pemerintah', 'untuk', 'menetapkan', 'tegas']","['tagar', 'lgbt', 'dibiarkan', 'tumbuh', 'masyarakat', 'mari', 'dukung', 'pemerintah', 'menetapkan']","['tagar', 'lgbt', 'biar', 'tumbuh', 'masyarakat', 'mari', 'dukung', 'perintah', 'tetap']"
276,rt mnwmnw konon uas bukan urusan kita konon bendera lgbt bukan urusan kita giliran bendera tauhid diurus bulan desember diurus,"['rt', 'mnwmnw', 'konon', 'uas', 'bukan', 'urusan', 'kita', 'konon', 'bendera', 'lgbt', 'bukan', 'urusan', 'kita', 'giliran', 'bendera', 'tauhid', 'diurus', 'bulan', 'desember', 'diurus']","['mnwmnw', 'konon', 'uas', 'urusan', 'konon', 'bendera', 'lgbt', 'urusan', 'giliran', 'bendera', 'tauhid', 'diurus', 'desember', 'diurus']","['mnwmnw', 'konon', 'uas', 'urus', 'konon', 'bendera', 'lgbt', 'urus', 'gilir', 'bendera', 'tauhid', 'urus', 'desember', 'urus']"
277,rt mari kita dukung penetapan rkuhp yg mengatur hukum pidana pelaku lgbt,"['rt', 'mari', 'kita', 'dukung', 'penetapan', 'rkuhp', 'yg', 'mengatur', 'hukum', 'pidana', 'pelaku', 'lgbt']","['mari', 'dukung', 'penetapan', 'rkuhp', 'mengatur', 'hukum', 'pidana', 'pelaku', 'lgbt']","['mari', 'dukung', 'tetap', 'rkuhp', 'atur', 'hukum', 'pidana', 'laku', 'lgbt']"
278,rt aku tidak bilang kalau lgbt itu perlu dibenarkan tapi setidaknya hargai keberadaan mereka karena pada dasarnya lgbt itu sud,"['rt', 'aku', 'tidak', 'bilang', 'kalau', 'lgbt', 'itu', 'perlu', 'dibenarkan', 'tapi', 'setidaknya', 'hargai', 'keberadaan', 'mereka', 'karena', 'pada', 'dasarnya', 'lgbt', 'itu', 'sud']","['lgbt', 'dibenarkan', 'hargai', 'keberadaan', 'dasarnya', 'lgbt', 'sud']","['lgbt', 'benar', 'harga', 'ada', 'dasar', 'lgbt', 'sud']"
279,aku tidak bilang kalau lgbt itu perlu dibenarkan tapi setidaknya hargai keberadaan mereka karena pada dasarnya lgbt,"['aku', 'tidak', 'bilang', 'kalau', 'lgbt', 'itu', 'perlu', 'dibenarkan', 'tapi', 'setidaknya', 'hargai', 'keberadaan', 'mereka', 'karena', 'pada', 'dasarnya', 'lgbt']","['lgbt', 'dibenarkan', 'hargai', 'keberadaan', 'dasarnya', 'lgbt']","['lgbt', 'benar', 'harga', 'ada', 'dasar', 'lgbt']"
280,katanya mau jadi calon plecidenkenapa kelakuan ibu ke bgini apa anda pendukun,"['katanya', 'mau', 'jadi', 'calon', 'plecidenkenapa', 'kelakuan', 'ibu', 'ke', 'bgini', 'apa', 'anda', 'pendukun']","['calon', 'plecidenkenapa', 'kelakuan', 'bgini', 'pendukun']","['calon', 'plecidenkenapa', 'laku', 'bgini', 'dukun']"
281,rt ada muslim yang marah lihat bendera tauhid dikibarkan tapi tak ambil pusing bendera lgbt dinaikkan semoga allah jaga,"['rt', 'ada', 'muslim', 'yang', 'marah', 'lihat', 'bendera', 'tauhid', 'dikibarkan', 'tapi', 'tak', 'ambil', 'pusing', 'bendera', 'lgbt', 'dinaikkan', 'semoga', 'allah', 'jaga']","['muslim', 'marah', 'lihat', 'bendera', 'tauhid', 'dikibarkan', 'ambil', 'pusing', 'bendera', 'lgbt', 'dinaikkan', 'semoga', 'allah', 'jaga']","['muslim', 'marah', 'lihat', 'bendera', 'tauhid', 'kibar', 'ambil', 'pusing', 'bendera', 'lgbt', 'naik', 'moga', 'allah', 'jaga']"
282,rt tolak lgbt,"['rt', 'tolak', 'lgbt']","['tolak', 'lgbt']","['tolak', 'lgbt']"
283,lgbt,['lgbt'],['lgbt'],['lgbt']
284,diwakanda ada ormas yg ngaku islam tp swmua yg dilarang islam mereka dukung dan bahkan ulama islam dihinaka,"['diwakanda', 'ada', 'ormas', 'yg', 'ngaku', 'islam', 'tp', 'swmua', 'yg', 'dilarang', 'islam', 'mereka', 'dukung', 'dan', 'bahkan', 'ulama', 'islam', 'dihinaka']","['diwakanda', 'ormas', 'ngaku', 'islam', 'tp', 'swmua', 'dilarang', 'islam', 'dukung', 'ulama', 'islam', 'dihinaka']","['diwakanda', 'ormas', 'ngaku', 'islam', 'tp', 'swmua', 'larang', 'islam', 'dukung', 'ulama', 'islam', 'dihinaka']"
285,gus kemarin sd sh kemana masih hidupkah coba tanyakan apakah meme ini mampu menyegarkan otak harusnya membandi,"['gus', 'kemarin', 'sd', 'sh', 'kemana', 'masih', 'hidupkah', 'coba', 'tanyakan', 'apakah', 'meme', 'ini', 'mampu', 'menyegarkan', 'otak', 'harusnya', 'membandi']","['gus', 'kemarin', 'sd', 'sh', 'kemana', 'hidupkah', 'coba', 'meme', 'menyegarkan', 'otak', 'membandi']","['gus', 'kemarin', 'sd', 'sh', 'mana', 'hidup', 'coba', 'meme', 'segar', 'otak', 'membandi']"
286,inotav ia sangat benertapi ceramah bel,"['inotav', 'ia', 'sangat', 'benertapi', 'ceramah', 'bel']","['inotav', 'benertapi', 'ceramah', 'bel']","['inotav', 'benertapi', 'ceramah', 'bel']"
